gift,perc,type,both
Money,67,dream,1
Money,32,real,1
Travel,44,dream,0
Smartphone,41,dream,1
Smartphone,16,real,1
Laptop/Computer,36,dream,0
Cosmetics/Perfume,35,dream,1
Cosmetics/Perfume,48,real,1
Chocolates,34,dream,1
Chocolates,51,real,1
Jewellery/Watch,31,dream,0
Tickets,29,dream,1
Tickets,16,real,1
Tablets,28,dream,0
Clothes/Shoes,28,dream,0
Food/Drink,24,real,0
Gift vouchers,21,real,0
Books,19,real,0
Cooking accessories,18,real,0
Health products,17,real,0
