"","country","cnt_code","year","va","ps","ge","rq","rl","cc","fh"
"72","Guinea","GIN",2016,"-0,73","-0,41","-1,01","-0,87","-1,29","-0,94","5"
"73","Gambia, The","GMB",2016,"-1,28","-0,52","-0,84","-0,51","-0,75","-0,80","6,5"
"74","Guinea-Bissau","GNB",2016,"-0,70","-0,50","-1,64","-1,24","-1,49","-1,56","5"
"75","Equatorial Guinea","GNQ",2016,"-1,93","-0,19","-1,41","-1,38","-1,44","-1,81","7"
"76","Greece","GRC",2016,"0,65","-0,14","0,21","0,15","0,20","-0,05","2"
"77","Grenada","GRD",2016,"0,86","1,01","-0,18","0,08","0,57","0,57","1,5"
"78","Greenland","GRL",2016,"1,27","1,96","0,85","1,33","1,74","1,17",""
"79","Guatemala","GTM",2016,"-0,31","-0,54","-0,60","-0,20","-1,04","-0,74","4"
"80","French Guiana","GUF",2016,"1,27","0,56","1,14","1,43","1,33","0,98",""
"82","Guyana","GUY",2016,"0,30","-0,03","-0,30","-0,42","-0,31","-0,32","2,5"
"83","Hong Kong SAR, China","HKG",2016,"0,27","0,84","1,86","2,15","1,70","1,58","3,5"
"84","Honduras","HND",2016,"-0,43","-0,36","-0,73","-0,51","-1,11","-0,69","4"
"85","Croatia","HRV",2016,"0,52","0,68","0,49","0,36","0,44","0,19","1,5"
"86","Haiti","HTI",2016,"-0,73","-0,67","-2,06","-1,24","-1,00","-1,35","5"
"87","Hungary","HUN",2016,"0,37","0,71","0,45","0,60","0,51","0,08","2"
"88","Indonesia","IDN",2016,"0,14","-0,38","0,01","-0,12","-0,36","-0,39","3"
"89","India","IND",2016,"0,41","-0,95","0,10","-0,31","-0,07","-0,30","2,5"
"90","Ireland","IRL",2016,"1,29","0,88","1,35","1,74","1,54","1,63","1"
"91","Iran, Islamic Rep.","IRN",2016,"-1,39","-0,74","-0,20","-1,23","-0,71","-0,72","6"
"92","Iraq","IRQ",2016,"-1,01","-2,28","-1,26","-1,13","-1,70","-1,40","5,5"
"93","Iceland","ISL",2016,"1,34","1,33","1,41","1,28","1,51","1,99","1"
"94","Israel","ISR",2016,"0,77","-0,83","1,35","1,31","1,02","1,06","1,5"
"95","Italy","ITA",2016,"1,04","0,35","0,52","0,71","0,27","0,05","1"
"96","Jamaica","JAM",2016,"0,69","0,24","0,41","0,16","-0,25","-0,16","2,5"
"97","Jordan","JOR",2016,"-0,76","-0,53","0,14","0,05","0,31","0,27","5,5"
"98","Japan","JPN",2016,"1,00","1,01","1,83","1,43","1,38","1,51","1"
"99","Kazakhstan","KAZ",2016,"-1,29","0,04","-0,06","-0,10","-0,42","-0,80","5,5"
"100","Kenya","KEN",2016,"-0,15","-1,33","-0,31","-0,30","-0,53","-0,90","4"
"101","Kyrgyz Republic","KGZ",2016,"-0,49","-0,66","-0,90","-0,35","-1,10","-1,08","5"
"102","Cambodia","KHM",2016,"-1,14","0,18","-0,69","-0,47","-1,10","-1,30","5,5"
"103","Kiribati","KIR",2016,"1,03","0,87","-0,45","-0,84","0,21","0,25","1"
"104","St. Kitts and Nevis","KNA",2016,"1,07","0,62","0,14","0,37","0,51","0,52","1,5"
"105","Korea, Rep.","KOR",2016,"0,63","0,17","1,07","1,11","1,14","0,37","2"
"106","Kuwait","KWT",2016,"-0,69","-0,15","-0,18","-0,07","0,03","-0,20","5"
"107","Lao PDR","LAO",2016,"-1,73","0,50","-0,39","-0,73","-0,77","-0,93","6,5"
"108","Lebanon","LBN",2016,"-0,52","-1,56","-0,53","-0,34","-0,86","-0,97","4,5"
"109","Liberia","LBR",2016,"-0,10","-0,55","-1,32","-0,95","-0,97","-0,71","3,5"
"110","Libya","LBY",2016,"-1,37","-2,21","-1,89","-2,27","-1,87","-1,57","6"
"111","St. Lucia","LCA",2016,"1,09","0,86","0,01","0,29","0,51","0,63","1"
"112","Liechtenstein","LIE",2016,"1,19","1,46","1,70","1,37","1,68","2,05","1"
"113","Sri Lanka","LKA",2016,"-0,11","0,07","-0,21","-0,10","-0,01","-0,28","4"
"114","Lesotho","LSO",2016,"0,03","-0,25","-0,80","-0,39","-0,18","-0,02","3"
"115","Lithuania","LTU",2016,"0,99","0,80","1,09","1,14","1,02","0,67","1"
"116","Luxembourg","LUX",2016,"1,44","1,41","1,69","1,72","1,71","2,08","1"
"117","Latvia","LVA",2016,"0,87","0,39","1,00","1,08","0,95","0,49","2"
"118","Kosovo","KSV",2016,"-0,16","-0,20","-0,44","-0,19","-0,38","-0,42","3,5"
"119","Macao SAR, China","MAC",2016,"-0,06","1,42","1,18","1,78","0,83","0,83",""
"120","Morocco","MAR",2016,"-0,65","-0,29","-0,10","-0,23","-0,14","-0,15","4,5"
"122","Moldova","MDA",2016,"-0,03","-0,28","-0,62","-0,12","-0,54","-0,96","3"
